output_file;name;image_name;lambda;window_size;dmin;imscale;time;ssd;ssim;ncc

output;dynamic;cones1;150;3;230;1;57;10929.1;0.221659;-0.21
output;dynamic;cones1;150;3;230;1;59;10929.1;0.221659;-0.21
output;dynamic;art1;4;1;230;1;1732;14329.9;0.605166;9.85317
output;naive;cones1;4;1;230;1;14;8681.13;0.351071;10.1919
output;naive;cones1;4;3;230;1;22;8638.96;0.264223;17.2147
output;naive;art1;4;3;230;1;1252;20680.7;0.0197593;-0.911503
output;naive;art1;4;5;230;1;1021;20725.3;0.0136843;-1.0167
output;naive;art1;4;3;230;1;390;8730.78;0.354762;0.254068
output;naive;art1;4;5;200;1;1569;8592.55;0.310012;1.94437
output;naive;art1;4;3;200;1;370;8730.78;0.354762;0.254068
output;naive;cones1;4;3;200;1;14;3849.58;0.176174;8.91871
output;naive;aloe1;4;1;200;1;13;4247.03;0.514774;3.09742
output;naive;aloe1;4;1;270;1;13;4247.03;0.514774;3.09742
output;naive;aloe1;4;3;270;1;43;5478.3;0.42956;7.14386
output;naive;aloe1;4;5;270;1;105;5134.64;0.529653;7.67926
output;naive;aloe1;4;7;270;1;183;5174.41;0.521462;6.87649
output;dynamic;aloe1;50;1;270;1;173;8755.33;0.654334;12.8984
output;dynamic;aloe1;50;3;270;1;177;23120.6;0.11171;5.95126
output;dynamic;aloe1;4;3;270;1;177;24872.2;0.023069;-nan
output;dynamic;aloe1;100;3;270;1;213;13800;0.350326;8.28715
output;dynamic;aloe1;100;5;270;1;174;24715.6;0.0480159;4.21133
output;dynamic;aloe1;50;5;270;1;171;24872.2;0.0188446;1.54113
output;dynamic;aloe1;4;5;270;1;184;24872.2;0.0162419;-nan
output;dynamic;aloe1;200;5;270;1;185;18642.1;0.181615;5.18907
output;dynamic;aloe1;300;5;270;1;167;13471.8;0.226917;4.50838
output;dynamic;aloe1;150;5;270;1;194;22456.9;0.0949544;4.50725
output;dynamic;aloe1;100;5;270;1;169;24715.6;0.0480159;4.21133
output;dynamic;aloe1;50;5;270;1;183;24872.2;0.0188446;1.54113
output;dynamic;aloe1;250;5;270;1;186;15042.8;0.238647;4.84612
output;dynamic;aloe1;300;5;270;1;190;13471.8;0.226917;4.50838
output;naive;baby1;300;1;300;1;13;5076.57;0.513868;3.73015
output;naive;baby1;300;3;300;1;38;5962.91;0.32175;7.81922
output;naive;baby1;300;5;300;1;99;5770.7;0.401042;9.45862
output;naive;baby1;300;7;300;1;177;5790.12;0.457181;10.5033
output;naive;baby1;300;7;300;1;175;7653.06;0.418183;24.2819
output;naive;baby1;300;5;300;1;97;7943.69;0.343725;20.7009
output;naive;baby1;300;3;300;1;40;8722;0.245583;13.4962
output;naive;baby1;300;1;300;1;13;11360;0.255321;-6.18952
output;dynamic;baby1;100;1;300;1;171;12811.1;0.65117;9.7527
output;dynamic;baby1;50;3;300;1;195;20689.3;0.282148;18.7203
output;dynamic;baby1;10;3;300;1;180;29319.4;0.00830442;3.50998
output;dynamic;baby1;100;3;300;1;169;13428.2;0.338261;12.0483
output;dynamic;baby1;200;3;300;1;159;20026.1;0.253475;15.2577
output;dynamic;baby1;50;3;300;1;164;20689.3;0.282148;18.7203
output;dynamic;baby1;120;3;300;1;181;13971.4;0.292945;16.5702
output;dynamic;baby1;100;5;300;1;223;24379.3;0.159999;14.8784
output;dynamic;baby1;100;7;300;1;194;29149.2;0.075656;13.2126
output;dynamic;baby1;300;7;300;1;187;19313.6;0.142899;13.8369
output;dynamic;baby1;200;7;300;1;207;24441.5;0.100385;8.03412
output;dynamic;baby1;250;7;300;1;195;21374.3;0.12031;8.88435
output;dynamic;baby1;400;7;300;1;196;19764.4;0.0991815;14.2892
output;dynamic;baby1;400;7;350;1;199;19764.4;0.0991815;14.2892
output;naive;cloth1;400;1;260;1;14;6162.18;0.617756;9.99904
output;naive;cloth1;400;3;260;1;44;6210.31;0.247252;8.32616
output;naive;cloth1;400;5;260;1;113;6163.72;0.180606;6.79043
output;naive;cloth1;400;7;260;1;200;6084.61;0.161186;6.10271
output;dynamic;cloth1;100;1;260;1;200;13944.3;0.584218;1.09048
output;dynamic;cloth1;50;1;260;1;219;14475.9;0.576253;1.35991
output;dynamic;cloth1;200;1;260;1;206;16571.2;0.511282;3.59941
output;dynamic;cloth1;150;1;260;1;184;13928.6;0.585746;0.9812
output;dynamic;cloth1;150;3;260;1;162;17055.6;0.15331;2.58655
output;dynamic;cloth1;100;3;260;1;261;14954.8;0.255532;0.112957
output;dynamic;cloth1;100;5;260;1;294;15277.5;0.171239;2.32058
output;dynamic;cloth1;100;7;260;1;227;17055.8;0.0770608;2.19136
output;dynamic;cloth1;50;7;260;1;232;16293.4;0.115992;3.03578
output;naive;cones1;50;1;230;1;5;4122.19;0.544374;4.79399
output;naive;cones1;50;1;230;1;5;8681.13;0.351071;10.1919
output;naive;cones1;50;1;230;1;5;4122.19;0.544374;4.79399
output;naive;cones1;50;3;230;1;14;3849.58;0.176174;8.91871
output;naive;cones1;50;5;230;1;36;3369.65;0.242452;11.1198
output;naive;cones1;50;5;230;1;35;7588.04;0.421378;21.9048
output;naive;cones1;50;7;230;1;64;7300.29;0.473106;23.2076
output;dynamic;cones1;50;7;230;1;67;21850.6;0.0057757;-nan
output;dynamic;cones1;50;7;230;1;71;21850.6;0.0057757;-nan
output;naive;cones1;1;7;230;1;64;3346.91;0.26297;12.1739
output;naive;cones1;1;7;230;1;65;7300.29;0.473106;23.2076
output;dynamic;cones1;4;1;230;1;76;21418.8;0.0383051;0.517807
output;dynamic;cones1;50;1;230;1;69;8884.25;0.378693;14.7494
output;dynamic;cones1;100;1;230;1;73;8398.86;0.39646;14.5715
output;dynamic;cones1;50;1;230;1;71;8884.25;0.378693;14.7494
output;dynamic;cones1;50;3;230;1;74;19038.7;0.0361573;2.5275
output;dynamic;cones1;50;3;230;1;71;19038.7;0.0361573;2.5275
output;dynamic;cones1;100;3;230;1;71;12797.4;0.124335;9.04027
output;dynamic;cones1;150;3;230;1;75;10929.1;0.221659;12.8292
output;dynamic;cones1;200;3;230;1;71;11099.2;0.233054;10.6529
output;dynamic;cones1;200;5;230;1;75;15955.4;0.0551453;4.48354
output;dynamic;cones1;150;5;230;1;67;18522;0.0297336;2.50957
output;dynamic;cones1;150;5;230;1;68;18522;0.0297336;2.50957
output;dynamic;cones1;100;5;230;1;69;21155;0.0129349;1.35555
output;dynamic;cones1;4;5;230;1;62;21850.6;0.0104666;-nan
output;dynamic;cones1;50;5;230;1;67;21850.6;0.0104666;-nan
output;dynamic;cones1;100;5;200;1;72;21155;0.0129349;1.35555
output;dynamic;cones1;300;5;200;1;65;12847.9;0.113712;10.0426
output;dynamic;cones1;500;5;200;1;64;15466.4;0.0955485;8.32762
output;dynamic;cones1;400;5;200;1;66;15088.4;0.0856654;7.7777
output;dynamic;cones1;350;5;200;1;65;13496;0.116041;9.42916
output;dynamic;cones1;300;5;230;1;65;12847.9;0.113712;10.0426
output;dynamic;cones1;300;5;180;1;64;12847.9;0.113712;10.0426
output;dynamic;cones1;300;5;180;1;71;12847.9;0.113712;10.0426
output;dynamic;cones1;300;7;180;1;70;18992.9;0.0217525;1.89022
output;dynamic;cones1;400;7;180;1;72;16470.2;0.044981;4.39863
output;dynamic;cones1;700;7;180;1;64;15895;0.0666041;8.64479
output;dynamic;cones1;800;7;180;1;65;16453.6;0.0635625;7.21963
output;naive;rocks1;100;1;274;1;12;7129.82;0.48189;5.39844
output;naive;rocks1;100;3;274;1;40;8636.15;0.335968;3.63676
output;naive;rocks1;100;5;274;1;102;7962.14;0.511859;4.52313
output;naive;rocks1;100;5;274;1;105;10726.9;0.522139;2.39397
output;naive;rocks1;100;3;274;1;43;11411.6;0.308084;1.91492
output;naive;rocks1;100;1;274;1;14;10925.1;0.254813;0.536043
output;naive;rocks1;100;7;274;1;187;10652.5;0.572209;1.41625
output;naive;rocks1;100;7;274;1;181;6623.38;0.654456;6.46472
output;dynamic;rocks1;100;1;274;1;200;10221.8;0.628428;2.98903
output;dynamic;rocks1;0;1;274;1;188;19509.9;0.0461243;-nan
output;dynamic;rocks1;50;1;274;1;192;10240.8;0.665185;5.28357
output;dynamic;rocks1;100;1;274;1;186;10221.8;0.628428;2.98903
output;dynamic;rocks1;25;1;274;1;194;11708.1;0.61395;4.69788
output;dynamic;rocks1;50;1;274;1;205;10240.8;0.665185;5.28357
output;dynamic;rocks1;50;3;274;1;204;19413.8;0.131714;0.125905
output;dynamic;rocks1;100;3;274;1;193;15272.2;0.327773;2.39579
output;dynamic;rocks1;150;3;274;1;197;11250.4;0.386724;5.26889
output;dynamic;rocks1;200;3;274;1;189;11639.8;0.268931;5.33114
output;dynamic;rocks1;100;5;274;1;181;19509.9;0.0590852;-0.662597
output;dynamic;rocks1;300;5;274;1;203;13790.9;0.218656;2.41742
output;dynamic;rocks1;300;7;274;1;202;19469.9;0.0922193;0.219563
output;dynamic;rocks1;500;7;274;1;194;15464.1;0.136946;1.78146
output;dynamic;rocks1;900;7;274;1;190;12796.9;0.0879688;3.46296
output;dynamic;rocks1;700;7;274;1;162;12619.5;0.130048;4.91919
output;dynamic;rocks1;600;7;274;1;166;13617.3;0.136594;2.65837
output;dynamic;rocks1;500;7;274;1;166;15464.1;0.136946;1.78146
output;naive;art1;100;1;230;1;97;8795.26;0.490281;0.130635
output;naive;art1;100;3;230;1;372;8730.78;0.354762;0.254068
