name;image_name;window_size;sigma;dmin;imscale;time;ssd;ssim;ncc
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.5491
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;0;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;0;575.929;0.912145;27.365
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;2;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;2;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;13;5;200;1;4;1478.29;0.815335;23.6794
iterative;aloe1;13;5;200;1;4;1480.05;0.817066;23.7101
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
